CONTAINER ID   IMAGE                                      COMMAND                  CREATED          STATUS                    PORTS                                                                                          NAMES
3d6c7e7431fb   vrk-backend                                "/app/api"               28 minutes ago   Up 28 minutes (healthy)   0.0.0.0:18080->8080/tcp, [::]:18080->8080/tcp                                                  vrk-backend-1
4b807aef0963   vrk-field                                  "docker-entrypoint.s…"   29 minutes ago   Up 28 minutes (healthy)   0.0.0.0:3102->3002/tcp, [::]:3102->3002/tcp                                                    vrk-field-1
a3fa624395f1   vrk-web                                    "docker-entrypoint.s…"   29 minutes ago   Up 28 minutes (healthy)   0.0.0.0:3100->3000/tcp, [::]:3100->3000/tcp                                                    vrk-web-1
b4bc9c87749a   postgres:17-alpine                         "docker-entrypoint.s…"   29 minutes ago   Up 29 minutes (healthy)   5432/tcp                                                                                       vrk-db-1
13993ff32c19   minio/minio:RELEASE.2025-09-07T16-13-09Z   "/usr/bin/docker-ent…"   29 minutes ago   Up 29 minutes (healthy)   0.0.0.0:19000->9000/tcp, [::]:19000->9000/tcp, 0.0.0.0:19001->9001/tcp, [::]:19001->9001/tcp   vrk-object-storage-1
a16190335e2b   python-presentations:latest                "/bin/sh -c 'uv run …"   23 hours ago     Up 23 hours               0.0.0.0:8002->8002/tcp, [::]:8002->8002/tcp                                                    djuxt_dev_backend
bf43f55c74dd   presentations-frontend                     "docker-entrypoint.s…"   10 days ago      Up 23 hours               0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                    djuxt_dev_frontend
a5b5eb834736   redis:latest                               "docker-entrypoint.s…"   10 days ago      Up 10 days                6379/tcp                                                                                       djuxt_dev_redis_frontend
4efe6b3c37ef   postgres:16-alpine                         "docker-entrypoint.s…"   2 weeks ago      Up 2 weeks (healthy)      0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                    ncfg-postgres
54d7ade5f4e1   nginx:1.29-alpine                          "/docker-entrypoint.…"   4 weeks ago      Up 10 days                127.0.0.1:9100->80/tcp                                                                         djuxt_nginx_develop
23abab90ea80   postgres:18.1                              "docker-entrypoint.s…"   4 weeks ago      Up 10 days                5432/tcp                                                                                       djuxt_dev_db
036274eab75d   redis:latest                               "docker-entrypoint.s…"   4 weeks ago      Up 10 days                6379/tcp                                                                                       djuxt_dev_redis
